Configuration	PRIME
STM32CubeMX 	4.12.0
Date	04/23/2016
MCU	STM32F429ZITx



PERIPHERALS	MODES	FUNCTIONS	PINS
85	PD14	FMC_D0	D0
86	PD15	FMC_D1	D1
87	PG2	GPIO_Output	AF_CS
88	PG3	GPIO_Output	EE_CS
89	PG4	FMC_BA0	
90	PG5	FMC_BA1	
91	PG6	LTDC_R7	R7
92	PG7	LTDC_CLK	DOTCLK [LCT-RGB_DOTCLK]
93	PG8	FMC_SDCLK	SDCLK
96	PC6	LTDC_HSYNC	HSYNC
97	PC7	LTDC_G6	G6
98	PC8	GPIO_Output	SD_CS
99	PC9	I2C3_SDA	I2C3_SDA [ACP/RF_SDA]
100	PA8	I2C3_SCL	I2C3_SCL [ACP/RF_SCL]
101	PA9	USART1_TX	
102	PA10	USART1_RX	
103	PA11	LTDC_R4	R4
104	PA12	LTDC_R5	R5
105	PA13	SYS_JTMS-SWDIO	SWDIO
109	PA14	SYS_JTCK-SWCLK	SWCLK
110	PA15	GPIO_EXTI15	TP_INT1 [Touch Panel]
111	PC10	LTDC_R2	R2
112	PC11	GPIO_Output	!BT_RESET
113	PC12	UART5_TX	
114	PD0	FMC_D2	D2
115	PD1	FMC_D3	D3
116	PD2	UART5_RX	
117	PD3	LTDC_G7	G7
118	PD4	FMC_NOE	
119	PD5	FMC_NWE	
122	PD6	LTDC_B2	B2
123	PD7	GPIO_Output	OF_CS
124	PG9	FMC_NE2	
125	PG10	LTDC_G3	G3
126	PG11	LTDC_B3	B3
127	PG12	LTDC_B4	B4
128	PG13	GPIO_Output	LD3 [Green Led]
129	PG14	GPIO_Output	LD4 [Red Led]
132	PG15	FMC_SDNCAS	SDNCAS
133	PB3	SYS_JTDO-SWO	
134	PB4	GPIO_Output	VADJ1_0
135	PB5	FMC_SDCKE1	SDCKE1
136	PB6	FMC_SDNE1	SDNE1 [SDRAM_CS]
137	PB7	GPIO_Output	VADJ1_1
139	PB8	LTDC_B6	B6
140	PB9	LTDC_B7	B7
141	PE0	FMC_NBL0	
142	PE1	FMC_NBL1	



SOFTWARE PROJECT

Project Settings : 
Project Name : PRIME
Project Folder : C:\Users\drmoore\Documents\PEGMA\Firmware\PRIME\environment\STM32Cube
Toolchain / IDE : MDK-ARM V5
Firmware Package Name and Version : STM32Cube FW_F4 V1.10.0


Code Generation Settings : 
STM32Cube Firmware Library Package : Copy all used libraries into the project folder
Generate peripheral initialization as a pair of '.c/.h' files per IP : No
Backup previously generated files when re-generating : No
Delete previously generated files when not re-generated : Yes
Set all free pins as analog (to optimize the power consumption) : No


Toolchains Settings : 
Compiler Optimizations : Balanced Size/Speed






